"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","6","100","Song","IE","0.00000","0.013132383771",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","7","100","Song","ID","0.00000","0.000156586451",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","16","100","Song","HU","0.00000","0.016561047120",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","HR","0.00000","0.003222201211",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","HK","0.00000","0.006493118208",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","5","100","Song","GR","0.00000","0.014740004678",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","16","100","Song","FR","0.00000","0.042600794133",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","FI","0.00000","0.011066602505",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","10","100","Song","ES","0.00000","0.033898067102",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","EE","0.00000","0.006001320759",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","6","100","Song","DK","0.00000","0.034650841971",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","136","100","Song","DE","0.00000","0.421428657537",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","7","100","Song","CZ","0.00000","0.011819377374",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","18","100","Song","CO","0.00000","0.018563033906",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","15","100","Song","CL","0.00000","0.024389209819",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","7","100","Song","CH","0.00000","0.026577940447",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","55","100","Song","CA","0.00000","0.149548180929",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","81","100","Song","BR","0.00000","0.136945871295",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","4","100","Song","BG","0.00000","0.007485992303",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","5","100","Song","BE","0.00000","0.013348125105",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","3","100","Song","BD","0.00000","0.000002319799",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","66","100","Song","AU","0.00000","0.199335713258",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","6","100","Song","AT","0.00000","0.020199652304",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","21","100","Song","AR","0.00000","0.016764029558",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","3","100","Song","AL","0.00000","0.000100911269",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","3","100","Song","AE","0.00000","0.012899243943",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","VN","0.00000","0.000012758896",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","SI","0.00000","0.001808283545",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","SE","0.00000","0.005922447583",
